Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.42     0.00      151     0.00     0.00  DataSet::~DataSet()
  0.00      0.42     0.00      133     0.00     0.00  std::vector<NominalFeature, std::allocator<NominalFeature> >::_M_check_len(unsigned long, char const*) const
  0.00      0.42     0.00      133     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned long, char const*) const
  0.00      0.42     0.00      133     0.00     0.00  NominalFeature* std::__uninitialized_copy<false>::__uninit_copy<NominalFeature*, NominalFeature*>(NominalFeature*, NominalFeature*, NominalFeature*)
  0.00      0.42     0.00      133     0.00     0.00  std::string* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00      0.42     0.00      133     0.00     0.80  void std::vector<NominalFeature, std::allocator<NominalFeature> >::_M_emplace_back_aux<NominalFeature const&>(NominalFeature const&)
  0.00      0.42     0.00      133     0.00     0.00  NominalFeature* std::uninitialized_copy<NominalFeature*, NominalFeature*>(NominalFeature*, NominalFeature*, NominalFeature*)
  0.00      0.42     0.00      133     0.00     0.00  std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00      0.42     0.00      126     0.00     0.00  _ZNSt6vectorISsSaISsEE19_M_emplace_back_auxIJRKSsEEEvDpOT_
  0.00      0.42     0.00      114     0.00     0.00  std::remove_reference<std::_Deque_iterator<int, int&, int*>&>::type&& std::move<std::_Deque_iterator<int, int&, int*>&>(std::_Deque_iterator<int, int&, int*>&)
  0.00      0.42     0.00      114     0.00     0.00  std::pair<std::string const, int> const& std::forward<std::pair<std::string const, int> const&>(std::remove_reference<std::pair<std::string const, int> const&>::type&)
  0.00      0.42     0.00      114     0.00     0.00  std::pair<int const, std::string> const& std::forward<std::pair<int const, std::string> const&>(std::remove_reference<std::pair<int const, std::string> const&>::type&)
  0.00      0.42     0.00       76     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_M_set_node(int**)
  0.00      0.42     0.00       76     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_S_buffer_size()
  0.00      0.42     0.00       76     0.00     0.00  std::_Deque_iterator<int, int&, int*>::_Deque_iterator()
  0.00      0.42     0.00       58     0.00     0.00  NominalFeature::NominalFeature(std::string const&)
  0.00      0.42     0.00       58     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISsE9constructISsJSsEEEvPT_DpOT0_
  0.00      0.42     0.00       58     0.00     0.00  _ZNSt16allocator_traitsISaISsEE12_S_constructISsJSsEEENSt9enable_ifIXsrNS1_18__construct_helperIT_JDpT0_EEE5valueEvE4typeERS0_PS5_DpOS6_
  0.00      0.42     0.00       58     0.00     0.00  _ZNSt16allocator_traitsISaISsEE9constructISsISsEEEvRS0_PT_DpOT0_
  0.00      0.42     0.00       58     0.00     0.00  std::map<std::string, int, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::map()
  0.00      0.42     0.00       58     0.00     0.00  std::map<int, std::string, std::less<int>, std::allocator<std::pair<int const, std::string> > >::map()
  0.00      0.42     0.00       58     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::emplace_back<std::string>(std::string&&)
  0.00      0.42     0.00       58     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::push_back(std::string&&)
  0.00      0.42     0.00       58     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_Rb_tree_impl<std::less<std::string>, true>::_Rb_tree_impl()
  0.00      0.42     0.00       58     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::less<std::string>, std::allocator<std::pair<std::string const, int> > >::_Rb_tree()
  0.00      0.42     0.00       58     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_Rb_tree_impl<std::less<int>, true>::_Rb_tree_impl()
  0.00      0.42     0.00       58     0.00     0.00  std::_Rb_tree<int, std::pair<int const, std::string>, std::_Select1st<std::pair<int const, std::string> >, std::less<int>, std::allocator<std::pair<int const, std::string> > >::_Rb_tree()
  0.00      0.42     0.00       57     0.00     0.10  DataSet::processNumericFeature(std::string const&)
  0.00      0.42     0.00       57     0.00     0.00  std::remove_reference<int**&>::type&& std::move<int**&>(int**&)
